source,degree,university_name,ccaa,sector_hint,modality_hint,fetch_ts,url
gradomania_pilot_fallback,infantil,Universidad de Cordoba,Andalucia,public,presencial,2026-04-27T10:07:30.668391+00:00,https://www.gradomania.com/noticias_universitarias/notas-de-corte-para-el-grado-en-educacion-infantil-20242025-org-8129.html
gradomania_pilot_fallback,infantil,Universidad de Granada,Andalucia,public,presencial,2026-04-27T10:07:30.668391+00:00,https://www.gradomania.com/noticias_universitarias/notas-de-corte-para-el-grado-en-educacion-infantil-20242025-org-8129.html
gradomania_pilot_fallback,infantil,Universidad de Huelva,Andalucia,public,presencial,2026-04-27T10:07:30.668391+00:00,https://www.gradomania.com/noticias_universitarias/notas-de-corte-para-el-grado-en-educacion-infantil-20242025-org-8129.html
gradomania_pilot_fallback,infantil,Universidad de Jaen,Andalucia,public,presencial,2026-04-27T10:07:30.668391+00:00,https://www.gradomania.com/noticias_universitarias/notas-de-corte-para-el-grado-en-educacion-infantil-20242025-org-8129.html
gradomania_pilot_fallback,infantil,Universidad de Malaga,Andalucia,public,presencial,2026-04-27T10:07:30.668391+00:00,https://www.gradomania.com/noticias_universitarias/notas-de-corte-para-el-grado-en-educacion-infantil-20242025-org-8129.html
gradomania_pilot_fallback,infantil,Universidad de Sevilla,Andalucia,public,presencial,2026-04-27T10:07:30.668391+00:00,https://www.gradomania.com/noticias_universitarias/notas-de-corte-para-el-grado-en-educacion-infantil-20242025-org-8129.html
gradomania_pilot_fallback,infantil,Universitat Autonoma de Barcelona,Cataluna,public,presencial,2026-04-27T10:07:30.668391+00:00,https://www.gradomania.com/noticias_universitarias/notas-de-corte-para-el-grado-en-educacion-infantil-20242025-org-8129.html
gradomania_pilot_fallback,infantil,Universitat de Barcelona,Cataluna,public,presencial,2026-04-27T10:07:30.668391+00:00,https://www.gradomania.com/noticias_universitarias/notas-de-corte-para-el-grado-en-educacion-infantil-20242025-org-8129.html
gradomania_pilot_fallback,infantil,Universitat de Girona,Cataluna,public,presencial,2026-04-27T10:07:30.668391+00:00,https://www.gradomania.com/noticias_universitarias/notas-de-corte-para-el-grado-en-educacion-infantil-20242025-org-8129.html
gradomania_pilot_fallback,infantil,Universitat de Lleida,Cataluna,public,presencial,2026-04-27T10:07:30.668391+00:00,https://www.gradomania.com/noticias_universitarias/notas-de-corte-para-el-grado-en-educacion-infantil-20242025-org-8129.html
gradomania_pilot_fallback,infantil,Universitat Rovira i Virgili,Cataluna,public,presencial,2026-04-27T10:07:30.668391+00:00,https://www.gradomania.com/noticias_universitarias/notas-de-corte-para-el-grado-en-educacion-infantil-20242025-org-8129.html
gradomania_pilot_fallback,infantil,Universitat de Vic - UCC,Cataluna,public,presencial,2026-04-27T10:07:30.668391+00:00,https://www.gradomania.com/noticias_universitarias/notas-de-corte-para-el-grado-en-educacion-infantil-20242025-org-8129.html
gradomania_pilot_fallback,infantil,Universidad Autonoma de Madrid,Madrid,public,presencial,2026-04-27T10:07:30.668391+00:00,https://www.gradomania.com/noticias_universitarias/notas-de-corte-para-el-grado-en-educacion-infantil-20242025-org-8129.html
gradomania_pilot_fallback,infantil,Universidad Complutense de Madrid,Madrid,public,presencial,2026-04-27T10:07:30.668391+00:00,https://www.gradomania.com/noticias_universitarias/notas-de-corte-para-el-grado-en-educacion-infantil-20242025-org-8129.html
gradomania_pilot_fallback,infantil,Universidad de Alcala,Madrid,public,presencial,2026-04-27T10:07:30.668391+00:00,https://www.gradomania.com/noticias_universitarias/notas-de-corte-para-el-grado-en-educacion-infantil-20242025-org-8129.html
gradomania_pilot_fallback,infantil,Universidad Rey Juan Carlos,Madrid,public,presencial,2026-04-27T10:07:30.668391+00:00,https://www.gradomania.com/noticias_universitarias/notas-de-corte-para-el-grado-en-educacion-infantil-20242025-org-8129.html
gradomania_pilot_fallback,infantil,Universidad de Burgos,Castilla y Leon,public,presencial,2026-04-27T10:07:30.668391+00:00,https://www.gradomania.com/noticias_universitarias/notas-de-corte-para-el-grado-en-educacion-infantil-20242025-org-8129.html
gradomania_pilot_fallback,infantil,Universidad de Leon,Castilla y Leon,public,presencial,2026-04-27T10:07:30.668391+00:00,https://www.gradomania.com/noticias_universitarias/notas-de-corte-para-el-grado-en-educacion-infantil-20242025-org-8129.html
gradomania_pilot_fallback,infantil,Universidad de Salamanca,Castilla y Leon,public,presencial,2026-04-27T10:07:30.668391+00:00,https://www.gradomania.com/noticias_universitarias/notas-de-corte-para-el-grado-en-educacion-infantil-20242025-org-8129.html
gradomania_pilot_fallback,infantil,Universidad de Valladolid,Castilla y Leon,public,presencial,2026-04-27T10:07:30.668391+00:00,https://www.gradomania.com/noticias_universitarias/notas-de-corte-para-el-grado-en-educacion-infantil-20242025-org-8129.html
gradomania_pilot_fallback,infantil,Universitat de Valencia,Comunitat Valenciana,public,presencial,2026-04-27T10:07:30.668391+00:00,https://www.gradomania.com/noticias_universitarias/notas-de-corte-para-el-grado-en-educacion-infantil-20242025-org-8129.html
gradomania_pilot_fallback,infantil,Universitat Jaume I,Comunitat Valenciana,public,presencial,2026-04-27T10:07:30.668391+00:00,https://www.gradomania.com/noticias_universitarias/notas-de-corte-para-el-grado-en-educacion-infantil-20242025-org-8129.html
gradomania_pilot_fallback,infantil,Universidad de Alicante,Comunitat Valenciana,public,presencial,2026-04-27T10:07:30.668391+00:00,https://www.gradomania.com/noticias_universitarias/notas-de-corte-para-el-grado-en-educacion-infantil-20242025-org-8129.html
